feature,importance
flat_0554,0.0002154112962301617
flat_0129,0.00021491150096408014
flat_0572,0.00021391234708288437
flat_0548,0.00021353166297840634
flat_0549,0.0002124867142620079
flat_0030,0.00021228674672114312
flat_0142,0.00021227723980701032
flat_0389,0.00021219001587824887
flat_0005,0.00021213291753500302
flat_0080,0.00021183683758860445
flat_0513,0.00021143691008969324
flat_0425,0.00021107369530835775
flat_0156,0.0002110433238598145
flat_0138,0.00021068054877426044
flat_0494,0.00021024786222190812
flat_0458,0.0002100158202810443
flat_0466,0.00020966518510036716
flat_0396,0.00020952240134858107
flat_0575,0.00020929274614189176
flat_0039,0.00020878798463001044
flat_0511,0.00020853694883356865
flat_0043,0.00020824423145429088
flat_0541,0.00020818023605123133
flat_0443,0.00020785952346595978
flat_0067,0.00020738377552915912
flat_0571,0.00020721013862559285
flat_0528,0.00020701108072448447
flat_0058,0.0002061944017867111
flat_0159,0.00020594403200866572
flat_0560,0.0002052505233947734
flat_0568,0.00020519507996674484
flat_0394,0.00020512646809953187
flat_0420,0.000205024682123985
flat_0414,0.00020467754875874464
flat_0465,0.00020455974787692742
flat_0072,0.00020425397350543265
flat_0038,0.00020419305101618062
flat_0457,0.00020394402417158974
flat_0147,0.0002038650591669906
flat_0464,0.0002032565916692642
flat_0417,0.00020321011745369225
flat_0510,0.00020311090093790048
flat_0427,0.00020260416037222245
flat_0185,0.00020243623615271746
flat_0099,0.0002022310724087336
flat_0050,0.0002016306504159423
flat_0189,0.00020159373566648185
flat_0463,0.0002014982254655598
flat_0516,0.00020139088954058883
flat_0003,0.0002012282002365447
flat_0385,0.00020118889938455702
flat_0410,0.00020116919097323902
flat_0104,0.00020088294082067917
flat_0543,0.00020085604021962273
flat_0451,0.0002007813094094691
flat_0096,0.00020047576799796243
flat_0002,0.00020023051397532413
flat_0544,0.0001998752743583461
flat_0530,0.00019985340931749068
flat_0057,0.0001997935374049448
flat_0397,0.00019948713305934098
flat_0411,0.0001994665991564494
flat_0479,0.00019894752214631898
flat_0514,0.0001984682555799134
flat_0009,0.0001982349128342107
flat_0170,0.00019817734117633855
flat_0412,0.00019790913213436762
flat_0478,0.00019789212740271899
flat_0502,0.0001975502271793247
flat_0497,0.0001963954980192491
flat_0403,0.00019553898688213895
flat_0032,0.00019519868196267228
flat_0518,0.0001950094302792786
flat_0384,0.00019499639525344988
flat_0473,0.0001946609309955307
flat_0470,0.00019432546911688265
flat_0449,0.00019397872725386851
flat_0472,0.00019391047701795873
flat_0499,0.0001933770044167489
flat_0481,0.00019324269823723774
flat_0144,0.00019317877562049373
flat_0151,0.00019276670325960846
flat_0517,0.00019275326646310794
flat_0500,0.0001926192654327942
flat_0020,0.00019239387411014853
